Potato type,Stock number,Soil sampling application number,Lot reference,Variety,Chemical used on tubers,Quantity,Quantity units,Number of packages,Packaging type,Packing material,Distinguishing marks
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
GUIDANCE,,,,,,,,,,,
1. You must fill in all fields marked MANDATORY,,,,,,,,,,,
2. Choose a value from the specified lists where appropriate,,,,,,,,,,,
3. Do not use extra commas as this will create errors when you try to upload the file,,,,,,,,,,,
4. When you've finished, make sure you delete the example data and these guidance notes,,,,,,,,,,
5. Save this file as a .CSV and upload it,,,,,,,,,,,
,,,,,,,,,,,
Potato type,Stock number,Soil sampling application number,Lot reference,Variety,Chemical used on tubers,Quantity,Quantity units,Number of packages,Packaging type,Packing material,Distinguishing marks
MANDATORY,MANDATORY,OPTIONAL,OPTIONAL,MANDATORY,OPTIONAL,MANDATORY,MANDATORY,MANDATORY,MANDATORY,OPTIONAL,OPTIONAL
,,,,,,,,,,,
ENTER EITHER -,,,,ENTER EITHER -,,,ENTER EITHER -,,ENTER EITHER -,,
Ware,,,,Accent,,,Grams,,Bag,,
Seed,,,,Accord,,,Kilograms,,Bale - compressed,,
,,,,Adora,,,Litres,,Bale - non-compressed,,
,,,,Agria,,,Tonnes,,Ball,,
,,,,Alex (2018),,,Units,,Barrel,,
,,,,Alibaba,,,,,Bin,,
,,,,Almera,,,,,Bottle - non-protected - bulbous,,
,,,,Alouette,,,,,Bottle - non-protected - cylindrical,,
,,,,Alverstone Russet,,,,,Bottle - protected bulbous,,
,,,,Amany,,,,,Bottle - protected cylindrical,,
,,,,Ambassador,,,,,Box,,
,,,,Ambo,,,,,Bucket,,
,,,,Amora,,,,,Bulk - granular particles (grains),,
,,,,Amorosa,,,,,Can - cylindrical,,
,,,,Andeana,,,,,Can - rectangular,,
,,,,Angelique,,,,,Can - with handle and spout,,
,,,,Anna,,,,,Capsule,,
,,,,Annabelle,,,,,Card,,
,,,,Antarctica,,,,,Carton,,
,,,,Anya,,,,,Case,,
,,,,Apache,,,,,Container,,
,,,,Argos,,,,,Drum,,
,,,,Ariata KWS,,,,,Envelope,,
,,,,Arizona,,,,,Fibre drum,,
,,,,Arran Banner,,,,,Flask,,
,,,,Arran Comet,,,,,Flexibag,,
,,,,Arran Pilot,,,,,Flexible intermediate bulk container bag,,
,,,,Arran Victory,,,,,Intermediate bulk container,,
,,,,Arrow,,,,,Jar,,
,,,,Arsenal,,,,,Jerrican - plastic,,
,,,,Asparges,,,,,Jerrican - steel,,
,,,,Asterix,,,,,Jumbo bag,,
,,,,Athlete,,,,,Jute bag,,
,,,,Atlantic,,,,,Keg,,
,,,,Avalanche,,,,,Net,,
,,,,Avondale,,,,,Octabin,,
,,,,Axona,,,,,Packet,,
,,,,Ballydoon,,,,,Package,,
,,,,Balmoral,,,,,Pallets,,
,,,,Bambino,,,,,Paper bags,,
,,,,Banba,,,,,Parcel,,
,,,,Barna,,,,,Plastic film bag,,
,,,,Belle De Fontenay,,,,,Poly bag,,
,,,,Betty,,,,,Polyweave plastic bag,,
,,,,Blue Belle,,,,,Pot,,
,,,,Blue Danube,,,,,Pouch,,
,,,,Bonnata KWS,,,,,Punnet,,
,,,,Bonnie,,,,,Sack,,
,,,,Bounty,,,,,Tank - cylindrical,,
,,,,Bremner,,,,,Tank - rectangular,,
,,,,Bricata KWS,,,,,Textile bag,,
,,,,British Queen,,,,,Tin,,
,,,,Brooke,,,,,Tote,,
,,,,Burren,,,,,Tray,,
,,,,Bute,,,,,Tub,,
,,,,Cabaret,,,,,Tube,,
,,,,Caesar,,,,,Vacuum packed,,
,,,,Camel,,,,,Vial,,
,,,,Camelot,,,,,Wooden crate,,
,,,,Cammeo,,,,,Wooden pallet,,
,,,,Captain,,,,,,,
,,,,Capucine,,,,,,,
,,,,Cara,,,,,,,
,,,,Carlingford,,,,,,,
,,,,Carnaval,,,,,,,
,,,,Carolus,,,,,,,
,,,,Casablanca,,,,,,,
,,,,Catriona,,,,,,,
,,,,Celine,,,,,,,
,,,,Challenger,,,,,,,
,,,,Charlemont,,,,,,,
,,,,Charlotte,,,,,,,
,,,,Charlton,,,,,,,
,,,,Chaski,,,,,,,
,,,,Chicago,,,,,,,
,,,,Chincha,,,,,,,
,,,,Chopin,,,,,,,
,,,,Churchill,,,,,,,
,,,,Clairette,,,,,,,
,,,,Claret,,,,,,,
,,,,Clevna,,,,,,,
,,,,Colleen,,,,,,,
,,,,Colomba,,,,,,,
,,,,Compass,,,,,,,
,,,,Constance,,,,,,,
,,,,Corolle,,,,,,,
,,,,Cosmos,,,,,,,
,,,,Courage,,,,,,,
,,,,Courlan,,,,,,,
,,,,Crisps4all,,,,,,,
,,,,Cultra,,,,,,,
,,,,Daisy,,,,,,,
,,,,Desiree,,,,,,,
,,,,Divaa,,,,,,,
,,,,Dolly,,,,,,,
,,,,Druid,,,,,,,
,,,,Duke Of York,,,,,,,
,,,,Dunbar Rover,,,,,,,
,,,,Dunbar Standard,,,,,,,
,,,,Dundrod,,,,,,,
,,,,Dunluce,,,,,,,
,,,,Edony,,,,,,,
,,,,Edzell Blue,,,,,,,
,,,,Electra,,,,,,,
,,,,Elisabeth,,,,,,,
,,,,Elland,,,,,,,
,,,,Ellie,,,,,,,
,,,,Emblem,,,,,,,
,,,,Emily,,,,,,,
,,,,Emma,,,,,,,
,,,,Epicure,,,,,,,
,,,,Erntestolz,,,,,,,
,,,,Estima,,,,,,,
,,,,Eurostar,,,,,,,
,,,,Excalibur,,,,,,,
,,,,Fambo,,,,,,,
,,,,Fandango,,,,,,,
,,,,Fianna,,,,,,,
,,,,FL2339,,,,,,,
,,,,Fontane,,,,,,,
,,,,Foremost,,,,,,,
,,,,Gabriel,,,,,,,
,,,,Gael,,,,,,,
,,,,Galactica,,,,,,,
,,,,Gatsby,,,,,,,
,,,,Gemson,,,,,,,
,,,,Georgina,,,,,,,
,,,,Gervioline,,,,,,,
,,,,Golden Beauty,,,,,,,
,,,,Golden Nugget,,,,,,,
,,,,Golden Sun,,,,,,,
,,,,Golden Wonder,,,,,,,
,,,,Gourmandine,,,,,,,
,,,,Grange,,,,,,,
,,,,Gravity,,,,,,,
,,,,Gwenne,,,,,,,
,,,,Habibi,,,,,,,
,,,,Harlequin,,,,,,,
,,,,Harmony,,,,,,,
,,,,Harry,,,,,,,
,,,,Heraclea,,,,,,,
,,,,Hermes,,,,,,,
,,,,Highland Burgundy Red,,,,,,,
,,,,Home Guard,,,,,,,
,,,,Horizon,,,,,,,
,,,,Imagine,,,,,,,
,,,,Inca Bella,,,,,,,
,,,,Inca Dawn,,,,,,,
,,,,Inca Rosa,,,,,,,
,,,,Infinity,,,,,,,
,,,,Innovator,,,,,,,
,,,,International Kidney,,,,,,,
,,,,Isle Of Jura,,,,,,,
,,,,Ivory Russet,,,,,,,
,,,,Jaerla,,,,,,,
,,,,Jazzy,,,,,,,
,,,,Jelly,,,,,,,
,,,,Jester,,,,,,,
,,,,Joshua,,,,,,,
,,,,Jubilee,,,,,,,
,,,,Juliette,,,,,,,
,,,,Karlena,,,,,,,
,,,,Kelly,,,,,,,
,,,,Kennebec,,,,,,,
,,,,Kerr's Pink,,,,,,,
,,,,Kestrel,,,,,,,
,,,,Kifli,,,,,,,
,,,,Kikko,,,,,,,
,,,,King Edward,,,,,,,
,,,,Kingsman,,,,,,,
,,,,Kondor,,,,,,,
,,,,La Strada,,,,,,,
,,,,Lady Amarilla,,,,,,,
,,,,Lady Anna,,,,,,,
,,,,Lady Balfour,,,,,,,
,,,,Lady Christl,,,,,,,
,,,,Lady Claire,,,,,,,
,,,,Lady Jo,,,,,,,
,,,,Lady Olympia,,,,,,,
,,,,Lady Rosetta,,,,,,,
,,,,Lady Valora,,,,,,,
,,,,Lanorma,,,,,,,
,,,,Leonata,,,,,,,
,,,,Libertie,,,,,,,
,,,,Linda,,,,,,,
,,,,Linton,,,,,,,
,,,,Lionheart,,,,,,,
,,,,Lomond,,,,,,,
,,,,Lorimer,,,,,,,
,,,,Lulu,,,,,,,
,,,,Madingley,,,,,,,
,,,,Majestic,,,,,,,
,,,,Malin,,,,,,,
,,,,Malou,,,,,,,
,,,,Manhattan,,,,,,,
,,,,Manitou,,,,,,,
,,,,Marfona,,,,,,,
,,,,Maris Bard,,,,,,,
,,,,Maris Peer,,,,,,,
,,,,Maris Piper,,,,,,,
,,,,Maritiema,,,,,,,
,,,,Markies,,,,,,,
,,,,Marvel,,,,,,,
,,,,Marys Rose,,,,,,,
,,,,Maxine,,,,,,,
,,,,Mayan Gold,,,,,,,
,,,,Mayan Queen,,,,,,,
,,,,Mayan Rose,,,,,,,
,,,,Mayan Star,,,,,,,
,,,,Mayan Twilight,,,,,,,
,,,,Melody,,,,,,,
,,,,Merlin,,,,,,,
,,,,Milton,,,,,,,
,,,,Mimi,,,,,,,
,,,,Mistay,,,,,,,
,,,,Morene,,,,,,,
,,,,Moulin Rouge,,,,,,,
,,,,Mozart,,,,,,,
,,,,Mustang,,,,,,,
,,,,Nadine,,,,,,,
,,,,Navan,,,,,,,
,,,,Nectar,,,,,,,
,,,,Newton,,,,,,,
,,,,Nicola,,,,,,,
,,,,Nieta,,,,,,,
,,,,Nitza,,,,,,,
,,,,Orchestra,,,,,,,
,,,,Orla,,,,,,,
,,,,Orwell,,,,,,,
,,,,Osprey,,,,,,,
,,,,Panther,,,,,,,
,,,,Paramount,,,,,,,
,,,,Paru,,,,,,,
,,,,Pentland Crown,,,,,,,
,,,,Pentland Dell,,,,,,,
,,,,Pentland Ivory,,,,,,,
,,,,Pentland Javelin,,,,,,,
,,,,Pentland Squire,,,,,,,
,,,,Performer,,,,,,,
,,,,Picasso,,,,,,,
,,,,Piccolo Star,,,,,,,
,,,,Pink Fir Apple,,,,,,,
,,,,Pink Gypsy,,,,,,,
,,,,Pioneer,,,,,,,
,,,,Pippa,,,,,,,
,,,,Pixie,,,,,,,
,,,,Pizazz,,,,,,,
,,,,Premiere,,,,,,,
,,,,Primura,,,,,,,
,,,,Purple Majesty,,,,,,,
,,,,Radebe,,,,,,,
,,,,Raleigh,,,,,,,
,,,,Ramos,,,,,,,
,,,,Ranger Russet,,,,,,,
,,,,Record,,,,,,,
,,,,Red Cara,,,,,,,
,,,,Red Duke Of York,,,,,,,
,,,,Red Emmalie,,,,,,,
,,,,Red Pontiac,,,,,,,
,,,,Redrobin,,,,,,,
,,,,Reiver,,,,,,,
,,,,Remarka,,,,,,,
,,,,Rembrandt,,,,,,,
,,,,Revie,,,,,,,
,,,,Richhill,,,,,,,
,,,,Robinta,,,,,,,
,,,,Rock,,,,,,,
,,,,Rocket,,,,,,,
,,,,Romano,,,,,,,
,,,,Rooster,,,,,,,
,,,,Roscor,,,,,,,
,,,,Roseval,,,,,,,
,,,,Royal,,,,,,,
,,,,Royal Kidney,,,,,,,
,,,,Rubesse,,,,,,,
,,,,Rudolph,,,,,,,
,,,,Russet Burbank,,,,,,,
,,,,Safari,,,,,,,
,,,,Safiyah,,,,,,,
,,,,Sagitta (2006),,,,,,,
,,,,Sandpiper,,,,,,,
,,,,Sante,,,,,,,
,,,,Saphire,,,,,,,
,,,,Sarpo Gwyn,,,,,,,
,,,,Sarpo Mira,,,,,,,
,,,,Sarpo Shona,,,,,,,
,,,,Sarpo Una,,,,,,,
,,,,Sassy,,,,,,,
,,,,Saturna,,,,,,,
,,,,Savanna,,,,,,,
,,,,Saxon,,,,,,,
,,,,Scapa,,,,,,,
,,,,Sebastian,,,,,,,
,,,,Setanta,,,,,,,
,,,,Shannon,,,,,,,
,,,,Sharpe's Express,,,,,,,
,,,,Shelford,,,,,,,
,,,,Shepody,,,,,,,
,,,,Sierra,,,,,,,
,,,,Sifra,,,,,,,
,,,,Skywalker,,,,,,,
,,,,Slaney,,,,,,,
,,,,Smile,,,,,,,
,,,,Smith's Comet,,,,,,,
,,,,Sofia,,,,,,,
,,,,Sorrento,,,,,,,
,,,,Sparkle,,,,,,,
,,,,Spunta,,,,,,,
,,,,Stemster,,,,,,,
,,,,Strachan,,,,,,,
,,,,Stroma,,,,,,,
,,,,Sunita,,,,,,,
,,,,Sunray,,,,,,,
,,,,Sunrise,,,,,,,
,,,,Sunset,,,,,,,
,,,,Swift,,,,,,,
,,,,Sylvana,,,,,,,
,,,,Tabitha,,,,,,,
,,,,Taurus,,,,,,,
,,,,Toluca,,,,,,,
,,,,Tresdale,,,,,,,
,,,,Tribute,,,,,,,
,,,,Triplo,,,,,,,
,,,,Trixie,,,,,,,
,,,,TX 15231,,,,,,,
,,,,Tyson,,,,,,,
,,,,Ulster Chieftain,,,,,,,
,,,,Ulster Prince,,,,,,,
,,,,Ulster Sceptre,,,,,,,
,,,,Up-to-date,,,,,,,
,,,,Upmarket,,,,,,,
,,,,Vales Emerald,,,,,,,
,,,,Vales Everest,,,,,,,
,,,,Vales Sovereign,,,,,,,
,,,,Valor,,,,,,,
,,,,Vanessa,,,,,,,
,,,,Vanilla,,,,,,,
,,,,Venezia,,,,,,,
,,,,Verity,,,,,,,
,,,,Victoria,,,,,,,
,,,,Violet Queen,,,,,,,
,,,,Violetta,,,,,,,
,,,,Virgo,,,,,,,
,,,,Vivaldi,,,,,,,
,,,,Vizelle,,,,,,,
,,,,Volare,,,,,,,
,,,,VR808,,,,,,,
,,,,White Lady,,,,,,,
,,,,Wilja,,,,,,,
,,,,Winston,,,,,,,
,,,,Wizard,,,,,,,
,,,,Yukon Gold,,,,,,,
,,,,Zahov,,,,,,,
,,,,Zohar,,,,,,,
