Product type,Variety,Class,Country of origin,Net weight per package in kilograms,Number of packages,Packaging type,Is the packaging reusable or reclaimed?
MANDATORY,OPTIONAL,MANDATORY,MANDATORY,MANDATORY,MANDATORY,MANDATORY,MANDATORY
** EXAMPLE** Apple,Braeburn,Class I,BE,100,5,Bag,Yes
Apple,Gala,Class II,GB,5000,40,Box,No
Pear,Conference,Extra,CN,10.5,300,Case,Yes
Pear,Bon rouge,Class !,FR,7,20,Wooden pallet,Yes
,,,,,,,
** GUIDANCE NOTES **,,,,,,,
1. You must fill in all fields marked MANDATORY,,,,,,,
2. Choose a value from the specified lists where appropriate. Net weight can be listed up to 1 decimal place,,,,,,,
3. You must use the country code for the country of origin - you can find the 2 letter country code here:,,,,,,,
https://www.gov.uk/government/publications/uk-trade-tariff-country-and-currency-codes/uk-trade-tariff-country-and-currency-codes,,,,,,,
The only exceptions to this list are:,,,,,,,
Northern Ireland - use GB-NIR,,,,,,,
Palestine - use PS,,,,,,,
4. Do not use extra commas as this will create errors when you try to upload the file,,,,,,,
"5. When you've finished, make sure you delete the example data including the mandatory/optional note on row 2 and these guidance notes",,,,,,,
6. Save this file as a .CSV and upload it,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Product type,Variety,Species,Country of origin,Net weight per package in kilograms,Number of packages,Packaging type,Is the packaging reusable or reclaimed?
MANDATORY,OPTIONAL,OPTIONAL,MANDATORY,MANDATORY,MANDATORY,MANDATORY,MANDATORY
ENTER EITHER - ,,ENTER EITHER - ,,,,ENTER EITHER - ,ENTER EITHER - 
Apple,,Extra,,,,Bag,Yes
Pear,,Class I,,,,Bale - compressed,No
Kiwi,,Class II,,,,Bale - non-compressed,
Sweet pepper,,,,,,Ball,
Clementine,,,,,,Barrel,
Lemon,,,,,,Bin,
Mandarin,,,,,,Bottle - non-protected - bulbous,
Orange,,,,,,Bottle - non-protected - cylindrical,
Satsuma,,,,,,Bottle - protected bulbous,
Tangerine,,,,,,Bottle - protected cylindrical,
Mineola,,,,,,Box,
Iceberg,,,,,,Bucket,
Little Gem,,,,,,Bulk - granular particles (grains),
Lollo Rosso,,,,,,Can - cylindrical,
Frisee,,,,,,Can - rectangular,
Oakleaf,,,,,,Can - with handle and spout,
Round / Flat / Butterhead,,,,,,Capsule,
Cos / Romaine,,,,,,Card,
Tomato,,,,,,Carton,
Nectarine,,,,,,Case,
Peach,,,,,,Container,
Grape,,,,,,Drum,
Strawberry,,,,,,Envelope,
,,,,,,Fibre drum,
,,,,,,Flask,
,,,,,,Flexibag,
,,,,,,Flexible intermediate bulk container bag,
,,,,,,Intermediate bulk container,
,,,,,,Jar,
,,,,,,Jerrican - plastic,
,,,,,,Jerrican - steel,
,,,,,,Jumbo bag,
,,,,,,Jute bag,
,,,,,,Keg,
,,,,,,Net,
,,,,,,Octabin,
,,,,,,Packet,
,,,,,,Package,
,,,,,,Pallets,
,,,,,,Paper bags,
,,,,,,Parcel,
,,,,,,Plastic film bag,
,,,,,,Poly bag,
,,,,,,Polyweave plastic bag,
,,,,,,Pot,
,,,,,,Pouch,
,,,,,,Punnet,
,,,,,,Sack,
,,,,,,Tank - cylindrical,
,,,,,,Tank - rectangular,
,,,,,,Textile bag,
,,,,,,Tin,
,,,,,,Tote,
,,,,,,Tray,
,,,,,,Tub,
,,,,,,Tube,
,,,,,,Vacuum packed,
,,,,,,Vial,
,,,,,,Wooden crate,
,,,,,,Wooden pallet,
