"Variety Name",Description,Parentage,"IVT Variety","Breeder Name","Breeder Address 1","Breeder Address 2","Breeder Town","Breeder Region","Breeder Postcode","Breeder Country","Breeder Email","Breeder Webpage","Breeder Phone","Breeder Fax","Breeder Agent Name","Breeder Agent Address 1","Breeder Agent Address 2","Breeder Agent Town","Breeder Agent Region","Breeder Agent Postcode","Breeder Agent Country","Breeder Agent Email","Breeder Agent Webpage","Breeder Agent Phone","Breeder Agent Fax","Breeder Rights (expiry)","Shape of tuber","Colour of skin","Colour of flesh","Depth of eyes","Smoothness of skin","Colour of base of lightsprout",Maturity,"Height of plants","Colour of flower","Frequency of berries","Resistance to bruising","Resistance to splitting","Resistance to Potato Virus YO","Resistance to Potato Virus YN","Resistance to Potato Virus A","Resistance to Potato mop top (spraing)","Resistance to Potato Leafroll Virus","Resistance to Potato Cyst Nematode (Pa 2/3 - 1) (Globodera pallida Pa 2/3 - 1)","Resistance to Potato Cyst Nematode (Ro1) (Globodera rostochiensis Ro1)","Resistance to common scab (Streptomyces scabiei)","Resistance to blackleg (Pectobacterium atrosepticum)","Resistance to dry rot (Fusarium sulphureum)","Resistance to dry rot (Fusarium coeruleum)","Resistance to skin spot (Polyscytalum pustulans)","Resistance to silver scurf (Helminthosporium solani)","Resistance to black dot (Colletotrichum coccodes)","Resistance to powdery scab (Spongospora subterranea)","Resistance to late blight on tubers (Phytophthora infestans)","Resistance to late blight on foliage (Phytophthora infestans)",Dormancy,"Dry Matter",Determinacy,"Cooking Type"
Accent,"Accent is a high yielding early bulking table variety.  Attractive, uniform oval tubers with light yellow skins and flesh and excellent cooking characteristics. Resistance to common scab, bruising and splitting. Resistant to potato cyst nematode <i>Globodera rostochiensisi</i> Ro1.  Susceptible to foliage and tuber late blight, blackleg and potato cyst nematode <i>Globodera pallida</i> Pa 2/3 and 1.  Sensitive to Sencorex post emergence.","Alcmaria x AM66.42",1,"A de Nijs & Zn. BV","Postbus 9",,"1749 ZG Warmenhuizen",,,NETHERLANDS,info@nijs.com,www.nijs.com,"0226 391270",,"Mercian Ltd","Unit 4 The Barns, Highfield Farm","Mill Lane, Snelson",Macclesfield,Cheshire,"SK11 9BN","UNITED KINGDOM",Paul.Knight@mercian.org,http://www.mercian.org/,"01263 761486",,-,"Short - oval",Cream,"Light yellow","Shallow - medium",Medium,Pink,"First Early",Short,White,Absent,8,7,4,-,-,-,4,2,9,7,2,-,-,-,-,-,6,2,3,-,-,-,-
Accord,"Accord is a high yielding early bulking variety suited to early processing and fresh markets, with short term storage potential.  Attractive, bright uniform oval tubers with cream skin and flesh. Good resistance to common and powdery scab, resistant to potato cyst nematode <i> Globodera rostochiensis</i> Ro1 with partial resistance to potato cyst nematode <i>Globodera pallida </i>Pa2/3,1.","Aminca x VK69-491",,"Meijer Potato","Bathseweg 45",,Rilland,,"4411 RK ",NETHERLANDS,info@meijerpotato.com,https://www.meijerpotato.com/en/,"+31 (0)113 - 76 01 00",,"Meijer Potato UK","Bayfield Brecks Barns,","Garden Lane,","Letheringsett, Holt",Norfolk,"NR25 7DZ","UNITED KINGDOM",info@meijerpotato.co.uk,www.meijerpotato.co.uk,"01263 710602",,2026,"Short - oval",Cream,Cream,Shallow,-,Pink,"First Early",Medium,"Blue violet",Few,7,7,3,-,-,-,8,4,9,6,-,5,6,-,-,-,7,5,3,-,-,-,-
Adora,"Main Crop",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oval,Yellow,"Light yellow","Shallow - medium",Smooth,-,"First Early",-,Violet,Few,6,-,-,3,-,9,-,-,9,3,-,-,5,-,-,-,3,5,3,Medium,,-,Fluffy
Agria,"Agria is a high yielding maincrop  variety.Â Â Plants yield a good number of tubers.Â Â This variety  is suitable for a range of uses including crisping, french fries, processing (starch / flake)  as well as table use.Â Â Tubers have some  resistance to bruising and splitting.Â Â Trials have found good resistance to potato leafroll virus and potato virus Yo .Â This variety has low resistance to blackleg.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Quarta x Semlo",1,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,"Oval - long",Cream,"Deep yellow",Shallow,Medium,Blue,Maincrop,-,White,Absent,3,3,7,-,-,-,7,2,9,5,2,-,-,-,-,-,5,5,4,-,-,-,-
"Alex (2018)",,"variant of Lady Balfour",1,"James Hutton Institute",Mylnefield,Invergowrie,Dundee,,"DD2 5DA","UNITED KINGDOM",,,"+44(0)1382 562731","+44(0)1382 562426","Greenvale AP",Springfield,Burrelton,Blairgowrie,Perthshire,"PH13 9PJ","UNITED KINGDOM",post@greenvale.co.uk,www.greenvale.co.uk,"+44 (0)1828 670343","+44 (0)1828 670636",-,"Oval - long",White,Cream,"Very shallow",-,Pink,-,"Medium - tall",-,-,2,8,3,7,8,-,4,4,4,9,5,1,7,-,-,-,8,5,5,-,-,-,-
Alibaba,"Maincrop variety with red tubers.  Testing was conducted in one year only for common scab and mop top (spraing), the rating based on this is a 6 for common scab and a 7 for mop top (spraing).","Barna x T2277/50",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","IPM Potato Group Limited","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info.uk@ipmpotato.com,www.ipmpotato.com," +44 1307 818131",,2047,"Oval - long",Red,White,Shallow,-,-,Maincrop,-,"Red violet",-,6,6,-,-,-,-,-,2,3,-,4,1,6,5,7,7,6,6,4,-,-,-,-
Almera,"Almera is a high yielding second early  variety.Â Â Plants yield a high number of tubers.Â Â This variety  is suitable for a range of uses including crisping, french fries  as well as table use.Â Â Tubers have some  resistance to bruising and splitting.Â Â Trials have found good resistance to silver scurf, skin spot and potato leafroll virus.Â Â This variety has low resistance to black dot, late blight on foliage and powdery scab.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","BM 77-2102 x AR 80-031-20",1,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,"Oval - long",Cream,"Light yellow","Very shallow - shallow",Smooth,Pink,"Second Early","Medium - tall","Red violet",Medium,4,5,-,-,-,-,7,2,9,4,5,3,6,7,7,1,2,3,2,-,-,-,-
Alouette,"Alouette is a versatile red skinned table variety producing oval long tubers with shallow eyes and yellow flesh colour. It is a rather firm cooking type potato and has consistently scored highly in sensory evaluation analysis. Boasting dual blight resistance, Alouette is suitable for both conventional and organic production.","AR 02-139-1 x Laura",,Agrico,.,.,.,.,.,AUSTRIA,,,,,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,"Oval - long",Red,"Medium yellow",Shallow,Smooth,Violet,"Early Maincrop",Medium,-,-,8,-,-,8,-,-,-,1,9,5,-,7,-,-,6,8,7,8,9,Medium,21%,-,Smooth
"Alverstone Russet","Main Crop","Cre 92-200 x Innovator",,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99",-,-,-,-,-,-,-,-,-,-,-,-,"Oval - long",Russet,White,-,Medium,-,Maincrop,-,"Blue violet",-,5,-,-,3,-,3,-,8,1,2,-,-,7,-,-,-,2,3,2,Medium,,-,-
Amany,"High yielding multi-purpose variety","Victoria x G94TT131008",,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,2044,"Oval - long",Yellow,"Medium yellow",Shallow,Smooth,-,"Late Maincrop",Tall,-,-,8,-,4,8,-,-,7,1,9,6,-,-,-,-,-,-,-,4,5,Long,21.0%,-,Smooth
