EPPO code,Genus,Description,Species,Country code for country of origin 1,Net quantity,Net quantity units,Gross quantity,Gross quantity units,Number of packages,Packaging type,Container number,Seal number,Batch code,Packing material,Distinguishing marks,Country code for country of origin 2,Country code for country of origin 3,Country code for country of origin 4,Country code for country of origin 5,Country code for country of origin 6,Country code for country of origin 7,Country code for country of origin 8,Country code for country of origin 9,Country code for country of origin 10
OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,MANDATORY,MANDATORY,MANDATORY - CHOOSE OPTION FROM LIST,OPTIONAL,OPTIONAL - CHOOSE OPTION FROM LIST,MANDATORY,MANDATORY - CHOOSE OPTION FROM LIST,IF YOU HAVE ONE,IF YOU HAVE ONE,IF YOU HAVE ONE,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL
,,,,,,Grams,,Grams,,Bag,,,,,,,,,,,,,,
,,,,,,Kilograms,,Kilograms,,Bale - compressed,,,,,,,,,,,,,,
,,,,,,Millilitres,,Millilitres,,Bale - non-compressed,,,,,,,,,,,,,,
,,,,,,Litres,,Litres,,Ball,,,,,,,,,,,,,,
,,,,,,Tonnes,,Tonnes,,Barrel,,,,,,,,,,,,,,
,,,,,,Units,,Units,,Bin,,,,,,,,,,,,,,
,,,,,,,,,,Bottle - non-protected - bulbous,,,,,,,,,,,,,,
,,,,,,,,,,Bottle - non-protected - cylindrical,,,,,,,,,,,,,,
,,,,,,,,,,Bottle - protected bulbous,,,,,,,,,,,,,,
,,,,,,,,,,Bottle - protected cylindrical,,,,,,,,,,,,,,
,,,,,,,,,,Box,,,,,,,,,,,,,,
,,,,,,,,,,Bucket,,,,,,,,,,,,,,
,,,,,,,,,,Bulk - granular particles (grains),,,,,,,,,,,,,,
,,,,,,,,,,Can - cylindrical,,,,,,,,,,,,,,
,,,,,,,,,,Can - rectangular,,,,,,,,,,,,,,
,,,,,,,,,,Can - with handle and spout,,,,,,,,,,,,,,
,,,,,,,,,,Capsule,,,,,,,,,,,,,,
,,,,,,,,,,Card,,,,,,,,,,,,,,
,,,,,,,,,,Carton,,,,,,,,,,,,,,
,,,,,,,,,,Case,,,,,,,,,,,,,,
,,,,,,,,,,Container,,,,,,,,,,,,,,
,,,,,,,,,,Crate - bulk - cardboard,,,,,,,,,,,,,,
,,,,,,,,,,Crate - bulk - plastic,,,,,,,,,,,,,,
,,,,,,,,,,Crate - bulk - wooden,,,,,,,,,,,,,,
,,,,,,,,,,Drum,,,,,,,,,,,,,,
,,,,,,,,,,Envelope,,,,,,,,,,,,,,
,,,,,,,,,,Fibre drum,,,,,,,,,,,,,,
,,,,,,,,,,Flask,,,,,,,,,,,,,,
,,,,,,,,,,Flexibag,,,,,,,,,,,,,,
,,,,,,,,,,Flexible intermediate bulk container bag,,,,,,,,,,,,,,
,,,,,,,,,,Intermediate bulk container,,,,,,,,,,,,,,
,,,,,,,,,,Intermediate bulk container - fibreboard,,,,,,,,,,,,,,
,,,,,,,,,,Intermediate bulk container - plywood,,,,,,,,,,,,,,
,,,,,,,,,,Intermediate bulk container - steel,,,,,,,,,,,,,,
,,,,,,,,,,Jar,,,,,,,,,,,,,,
,,,,,,,,,,Jerrican - plastic,,,,,,,,,,,,,,
,,,,,,,,,,Jerrican - steel,,,,,,,,,,,,,,
,,,,,,,,,,Jumbo bag,,,,,,,,,,,,,,
,,,,,,,,,,Jute bag,,,,,,,,,,,,,,
,,,,,,,,,,Keg,,,,,,,,,,,,,,
,,,,,,,,,,Net,,,,,,,,,,,,,,
,,,,,,,,,,Octabin,,,,,,,,,,,,,,
,,,,,,,,,,Packet,,,,,,,,,,,,,,
,,,,,,,,,,Package,,,,,,,,,,,,,,
,,,,,,,,,,Pallets,,,,,,,,,,,,,,
,,,,,,,,,,Paper bags,,,,,,,,,,,,,,
,,,,,,,,,,Parcel,,,,,,,,,,,,,,
,,,,,,,,,,Plastic film bag,,,,,,,,,,,,,,
,,,,,,,,,,Poly bag,,,,,,,,,,,,,,
,,,,,,,,,,Polyweave plastic bag,,,,,,,,,,,,,,
,,,,,,,,,,Pot,,,,,,,,,,,,,,
,,,,,,,,,,Pouch,,,,,,,,,,,,,,
,,,,,,,,,,Punnet,,,,,,,,,,,,,,
,,,,,,,,,,Sack,,,,,,,,,,,,,,
,,,,,,,,,,Tank - cylindrical,,,,,,,,,,,,,,
,,,,,,,,,,Tank - rectangular,,,,,,,,,,,,,,
,,,,,,,,,,Textile bag,,,,,,,,,,,,,,
,,,,,,,,,,Tin,,,,,,,,,,,,,,
,,,,,,,,,,Tote,,,,,,,,,,,,,,
,,,,,,,,,,Tray,,,,,,,,,,,,,,
,,,,,,,,,,Tub,,,,,,,,,,,,,,
,,,,,,,,,,Tube,,,,,,,,,,,,,,
,,,,,,,,,,Vacuum packed,,,,,,,,,,,,,,
,,,,,,,,,,Vial,,,,,,,,,,,,,,
,,,,,,,,,,Wooden crate,,,,,,,,,,,,,,
,,,,,,,,,,Wooden pallet,,,,,,,,,,,,,,
,,,,,,,,,,Unpacked or unpackaged,,,,,,,,,,,,,,
