EPPO Code,Genus,Species,Variety,Commodity type,Country of origin,Quantity,Quantity units,Number of packages,Packaging type,Packing material,Distinguishing marks
OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,MANDATORY,MANDATORY,MANDATORY,MANDATORY,MANDATORY,MANDATORY,OPTIONAL,OPTIONAL
,,,,ENTER EITHER -,,,ENTER EITHER -,,ENTER EITHER - ,,
,,,,Micropropagated material,,,Grams,,Bag,,
,,,,Plants,,,Kilograms,,Bale - compressed,,
,,,,Produce,,,Litres,,Bale - non-compressed,,
,,,,,,,Tonnes,,Ball,,
,,,,,,,Units,,Barrel,,
,,,,,,,,,Bin,,
,,,,,,,,,Bottle - non-protected - bulbous,,
,,,,,,,,,Bottle - non-protected - cylindrical,,
,,,,,,,,,Bottle - protected bulbous,,
,,,,,,,,,Bottle - protected cylindrical,,
,,,,,,,,,Box,,
,,,,,,,,,Bucket,,
,,,,,,,,,Bulk - granular particles (grains),,
,,,,,,,,,Can - cylindrical,,
,,,,,,,,,Can - rectangular,,
,,,,,,,,,Can - with handle and spout,,
,,,,,,,,,Capsule,,
,,,,,,,,,Card,,
,,,,,,,,,Carton,,
,,,,,,,,,Case,,
,,,,,,,,,Container,,
,,,,,,,,,Drum,,
,,,,,,,,,Envelope,,
,,,,,,,,,Fibre drum,,
,,,,,,,,,Flask,,
,,,,,,,,,Flexibag,,
,,,,,,,,,Flexible intermediate bulk container bag,,
,,,,,,,,,Intermediate bulk container,,
,,,,,,,,,Jar,,
,,,,,,,,,Jerrican - plastic,,
,,,,,,,,,Jerrican - steel,,
,,,,,,,,,Jumbo bag,,
,,,,,,,,,Jute bag,,
,,,,,,,,,Keg,,
,,,,,,,,,Net,,
,,,,,,,,,Octabin,,
,,,,,,,,,Packet,,
,,,,,,,,,Package,,
,,,,,,,,,Pallets,,
,,,,,,,,,Paper bags,,
,,,,,,,,,Parcel,,
,,,,,,,,,Plastic film bag,,
,,,,,,,,,Poly bag,,
,,,,,,,,,Polyweave plastic bag,,
,,,,,,,,,Pot,,
,,,,,,,,,Pouch,,
,,,,,,,,,Punnet,,
,,,,,,,,,Sack,,
,,,,,,,,,Tank - cylindrical,,
,,,,,,,,,Tank - rectangular,,
,,,,,,,,,Textile bag,,
,,,,,,,,,Tin,,
,,,,,,,,,Tote,,
,,,,,,,,,Tray,,
,,,,,,,,,Tub,,
,,,,,,,,,Tube,,
,,,,,,,,,Vacuum packed,,
,,,,,,,,,Vial,,
,,,,,,,,,Wooden crate,,
,,,,,,,,,Wooden pallet,,
