Potato type,Stock number,Soil sampling application number,Lot reference,Variety,Chemical used on tubers,Country code for country of origin 1,Country code for country of origin 2,Country code for country of origin 3,Country code for country of origin 4,Country code for country of origin 5,Country code for country of origin 6,Country code for country of origin 7,Country code for country of origin 8,Country code for country of origin 9,Country code for country of origin 10,Quantity,Quantity units,Number of packages,Packaging type,Packing material,Distinguishing marks,Growing season inspection number
MANDATORY - CHOOSE OPTION FROM LIST,SEE GUIDANCE,SEE GUIDANCE,SEE GUIDANCE,MANDATORY - CHOOSE OPTION FROM LIST,OPTIONAL,MANDATORY,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,MANDATORY,MANDATORY - CHOOSE OPTION FROM LIST,MANDATORY,MANDATORY - CHOOSE OPTION FROM LIST,OPTIONAL,OPTIONAL,MANDATORY - SEE GUIDANCE
Ware,,,,7 Four 7,,,,,,,,,,,,,Grams,,Bag,,,
Seed,,,,Abbot,,,,,,,,,,,,,Kilograms,,Bale - compressed,,,
,,,,Accord,,,,,,,,,,,,,Litres,,Bale - non-compressed,,,
,,,,Acoustic,,,,,,,,,,,,,Tonnes,,Ball,,,
,,,,Agria,,,,,,,,,,,,,Units,,Barrel,,,
,,,,Alexandra,,,,,,,,,,,,,,,Bin,,,
,,,,Allison,,,,,,,,,,,,,,,Bottle - non-protected - bulbous,,,
,,,,Alouette,,,,,,,,,,,,,,,Bottle - non-protected - cylindrical,,,
,,,,Amanda,,,,,,,,,,,,,,,Bottle - protected bulbous,,,
,,,,Ambo,,,,,,,,,,,,,,,Bottle - protected cylindrical,,,
,,,,Amora,,,,,,,,,,,,,,,Box,,,
,,,,Anna,,,,,,,,,,,,,,,Bucket,,,
,,,,Annabelle,,,,,,,,,,,,,,,Bulk - granular particles (grains),,,
,,,,Anya,,,,,,,,,,,,,,,Can - cylindrical,,,
,,,,Arcade,,,,,,,,,,,,,,,Can - rectangular,,,
,,,,Argos,,,,,,,,,,,,,,,Can - with handle and spout,,,
,,,,Asterix,,,,,,,,,,,,,,,Capsule,,,
,,,,Athlete,,,,,,,,,,,,,,,Card,,,
,,,,Aurum,,,,,,,,,,,,,,,Carton,,,
,,,,Baby Lou,,,,,,,,,,,,,,,Case,,,
,,,,Baby Rose,,,,,,,,,,,,,,,Container,,,
,,,,Babylon,,,,,,,,,,,,,,,Crate - bulk - cardboard,,,
,,,,Bambino,,,,,,,,,,,,,,,Crate - bulk - plastic,,,
,,,,Belana,,,,,,,,,,,,,,,Crate - bulk - wooden,,,
,,,,Bergerac,,,,,,,,,,,,,,,Drum,,,
,,,,Bonnata,,,,,,,,,,,,,,,Envelope,,,
,,,,Brooke,,,,,,,,,,,,,,,Fibre drum,,,
,,,,Cabaret,,,,,,,,,,,,,,,Flask,,,
,,,,Camel,,,,,,,,,,,,,,,Flexibag,,,
,,,,Cara,,,,,,,,,,,,,,,Flexible intermediate bulk container bag,,,
,,,,Carolus,,,,,,,,,,,,,,,Intermediate bulk container,,,
,,,,Caruso,,,,,,,,,,,,,,,Intermediate bulk container - fibreboard,,,
,,,,Celandine,,,,,,,,,,,,,,,Intermediate bulk container - plywood,,,
,,,,Celebration,,,,,,,,,,,,,,,Intermediate bulk container - steel,,,
,,,,Challenger,,,,,,,,,,,,,,,Jar,,,
,,,,Charlotte,,,,,,,,,,,,,,,Jerrican - plastic,,,
,,,,Chopin,,,,,,,,,,,,,,,Jerrican - steel,,,
,,,,Daisy,,,,,,,,,,,,,,,Jumbo bag,,,
,,,,Desiree,,,,,,,,,,,,,,,Jute bag,,,
,,,,Divaa,,,,,,,,,,,,,,,Keg,,,
,,,,Edison,,,,,,,,,,,,,,,Net,,,
,,,,Edony,,,,,,,,,,,,,,,Octabin,,,
,,,,Electra,,,,,,,,,,,,,,,Packet,,,
,,,,Elfe,,,,,,,,,,,,,,,Package,,,
,,,,Elgar,,,,,,,,,,,,,,,Pallets,,,
,,,,Endeavour,,,,,,,,,,,,,,,Paper bags,,,
,,,,Eos,,,,,,,,,,,,,,,Parcel,,,
,,,,Estima,,,,,,,,,,,,,,,Plastic film bag,,,
,,,,Eurostar,,,,,,,,,,,,,,,Poly bag,,,
,,,,Focus,,,,,,,,,,,,,,,Polyweave plastic bag,,,
,,,,Fontane,,,,,,,,,,,,,,,Pot,,,
,,,,Gemson,,,,,,,,,,,,,,,Pouch,,,
,,,,Georgina,,,,,,,,,,,,,,,Punnet,,,
,,,,Glorietta,,,,,,,,,,,,,,,Sack,,,
,,,,Gwenne,,,,,,,,,,,,,,,Tank - cylindrical,,,
,,,,Heraclea,,,,,,,,,,,,,,,Tank - rectangular,,,
,,,,Hermes,,,,,,,,,,,,,,,Textile bag,,,
,,,,Infinity,,,,,,,,,,,,,,,Tin,,,
,,,,Innovator,,,,,,,,,,,,,,,Tote,,,
,,,,Isabelia,,,,,,,,,,,,,,,Tray,,,
,,,,Ivory Russet,,,,,,,,,,,,,,,Tub,,,
,,,,Jazzy,,,,,,,,,,,,,,,Tube,,,
,,,,Jelly,,,,,,,,,,,,,,,Vacuum packed,,,
,,,,Juliette,,,,,,,,,,,,,,,Vial,,,
,,,,King Edward,,,,,,,,,,,,,,,Wooden crate,,,
,,,,King Russet,,,,,,,,,,,,,,,Wooden pallet,,,
,,,,Kingsman,,,,,,,,,,,,,,,Unpacked or unpackaged,,,
,,,,Kresnik,,,,,,,,,,,,,,,,,,
,,,,KWS 07-1402,,,,,,,,,,,,,,,,,,
,,,,La Vie,,,,,,,,,,,,,,,,,,
,,,,Lady Alicia,,,,,,,,,,,,,,,,,,
,,,,Lady Anna,,,,,,,,,,,,,,,,,,
,,,,Lady Christl,,,,,,,,,,,,,,,,,,
,,,,Lady Claire,,,,,,,,,,,,,,,,,,
,,,,Lady Jo,,,,,,,,,,,,,,,,,,
,,,,Lady Rosetta,,,,,,,,,,,,,,,,,,
,,,,Lady Terra ,,,,,,,,,,,,,,,,,,
,,,,Lanorma,,,,,,,,,,,,,,,,,,
,,,,Laperla,,,,,,,,,,,,,,,,,,
,,,,Laura,,,,,,,,,,,,,,,,,,
,,,,Leonata,,,,,,,,,,,,,,,,,,
,,,,Leontine,,,,,,,,,,,,,,,,,,
,,,,Lucera,,,,,,,,,,,,,,,,,,
,,,,Lugano,,,,,,,,,,,,,,,,,,
,,,,Madrid,,,,,,,,,,,,,,,,,,
,,,,Manhattan,,,,,,,,,,,,,,,,,,
,,,,Manitou,,,,,,,,,,,,,,,,,,
,,,,Marabel,,,,,,,,,,,,,,,,,,
,,,,Marfona,,,,,,,,,,,,,,,,,,
,,,,Mariola,,,,,,,,,,,,,,,,,,
,,,,Maris Bard,,,,,,,,,,,,,,,,,,
,,,,Maris Peer,,,,,,,,,,,,,,,,,,
,,,,Maris Piper,,,,,,,,,,,,,,,,,,
,,,,Markies,,,,,,,,,,,,,,,,,,
,,,,Melody,,,,,,,,,,,,,,,,,,
,,,,Michelle,,,,,,,,,,,,,,,,,,
,,,,Miranda,,,,,,,,,,,,,,,,,,
,,,,Monte Carlo,,,,,,,,,,,,,,,,,,
,,,,Morene,,,,,,,,,,,,,,,,,,
,,,,Mozart,,,,,,,,,,,,,,,,,,
,,,,Nectar,,,,,,,,,,,,,,,,,,
,,,,Olympus,,,,,,,,,,,,,,,,,,
,,,,Opal,,,,,,,,,,,,,,,,,,
,,,,Orchestra,,,,,,,,,,,,,,,,,,
,,,,Orla,,,,,,,,,,,,,,,,,,
,,,,Panther,,,,,,,,,,,,,,,,,,
,,,,Paris,,,,,,,,,,,,,,,,,,
,,,,Pentland Dell,,,,,,,,,,,,,,,,,,
,,,,Perdiz,,,,,,,,,,,,,,,,,,
,,,,Performer,,,,,,,,,,,,,,,,,,
,,,,Picasso,,,,,,,,,,,,,,,,,,
,,,,Piccolo Star,,,,,,,,,,,,,,,,,,
,,,,Pirol,,,,,,,,,,,,,,,,,,
,,,,Premiere,,,,,,,,,,,,,,,,,,
,,,,Purple Majesty,,,,,,,,,,,,,,,,,,
,,,,Ramos,,,,,,,,,,,,,,,,,,
,,,,Red King Edward,,,,,,,,,,,,,,,,,,
,,,,Rock,,,,,,,,,,,,,,,,,,
,,,,Rossini,,,,,,,,,,,,,,,,,,
,,,,Royal,,,,,,,,,,,,,,,,,,
,,,,Rudolph,,,,,,,,,,,,,,,,,,
,,,,Safari,,,,,,,,,,,,,,,,,,
,,,,Sagitta,,,,,,,,,,,,,,,,,,
,,,,Saphire,,,,,,,,,,,,,,,,,,
,,,,Sassy,,,,,,,,,,,,,,,,,,
,,,,Sensation,,,,,,,,,,,,,,,,,,
,,,,SH C 1010,,,,,,,,,,,,,,,,,,
,,,,Shannon,,,,,,,,,,,,,,,,,,
,,,,Shelford,,,,,,,,,,,,,,,,,,
,,,,Shepody,,,,,,,,,,,,,,,,,,
,,,,Siena,,,,,,,,,,,,,,,,,,
,,,,Smiths Comet,,,,,,,,,,,,,,,,,,
,,,,Soraya,,,,,,,,,,,,,,,,,,
,,,,Sunita,,,,,,,,,,,,,,,,,,
,,,,Talentine,,,,,,,,,,,,,,,,,,
,,,,Taurus,,,,,,,,,,,,,,,,,,
,,,,Triple7,,,,,,,,,,,,,,,,,,
,,,,Twinner,,,,,,,,,,,,,,,,,,
,,,,Tyson,,,,,,,,,,,,,,,,,,
,,,,Valencia,,,,,,,,,,,,,,,,,,
,,,,Vales Sovereign,,,,,,,,,,,,,,,,,,
,,,,Venezia,,,,,,,,,,,,,,,,,,
,,,,Verdi,,,,,,,,,,,,,,,,,,
,,,,Vivaldi,,,,,,,,,,,,,,,,,,
,,,,VR 808,,,,,,,,,,,,,,,,,,
,,,,Wilja,,,,,,,,,,,,,,,,,,
