Potato type,Stock number,Soil sampling application number,Lot reference,Variety,Chemical used on tubers,Country of origin,Quantity,Quantity units,Number of packages,Packaging type,Packing material,Distinguishing marks,Growing season inspection number
MANDATORY,MANDATORY,OPTIONAL,OPTIONAL,MANDATORY,OPTIONAL,,MANDATORY,MANDATORY,MANDATORY,MANDATORY,OPTIONAL,OPTIONAL,OPTIONAL
,,,,,,,,,,,,,
ENTER EITHER -,,,,ENTER EITHER -,,,,ENTER EITHER -,,ENTER EITHER -,,,ENTER EITHER -
Ware,,,,7 Four 7,,,,Grams,,Bag,,,A growing season inspection number
Seed,,,,Abbot,,,,Kilograms,,Bale - compressed,,,'eDomero' if your growing season inspection was done on eDomero
,,,,Accord,,,,Litres,,Bale - non-compressed,,,
,,,,Acoustic,,,,Tonnes,,Ball,,,
,,,,Agria,,,,Units,,Barrel,,,
,,,,Alexandra,,,,,,Bin,,,
,,,,Allison,,,,,,Bottle - non-protected - bulbous,,,
,,,,Alouette,,,,,,Bottle - non-protected - cylindrical,,,
,,,,Amanda,,,,,,Bottle - protected bulbous,,,
,,,,Ambo,,,,,,Bottle - protected cylindrical,,,
,,,,Amora,,,,,,Box,,,
,,,,Anna,,,,,,Bucket,,,
,,,,Annabelle,,,,,,Bulk - granular particles (grains),,,
,,,,Anya,,,,,,Can - cylindrical,,,
,,,,Arcade,,,,,,Can - rectangular,,,
,,,,Argos,,,,,,Can - with handle and spout,,,
,,,,Asterix,,,,,,Capsule,,,
,,,,Athlete,,,,,,Card,,,
,,,,Aurum,,,,,,Carton,,,
,,,,Baby Lou,,,,,,Case,,,
,,,,Baby Rose,,,,,,Container,,,
,,,,Babylon,,,,,,Drum,,,
,,,,Bambino,,,,,,Envelope,,,
,,,,Belana,,,,,,Fibre drum,,,
,,,,Bergerac,,,,,,Flask,,,
,,,,Bonnata,,,,,,Flexibag,,,
,,,,Brooke,,,,,,Flexible intermediate bulk container bag,,,
,,,,Cabaret,,,,,,Intermediate bulk container,,,
,,,,Camel,,,,,,Jar,,,
,,,,Cara,,,,,,Jerrican - plastic,,,
,,,,Carolus,,,,,,Jerrican - steel,,,
,,,,Caruso,,,,,,Jumbo bag,,,
,,,,Celandine,,,,,,Jute bag,,,
,,,,Celebration,,,,,,Keg,,,
,,,,Challenger,,,,,,Net,,,
,,,,Charlotte,,,,,,Octabin,,,
,,,,Chopin,,,,,,Packet,,,
,,,,Daisy,,,,,,Package,,,
,,,,Desiree,,,,,,Pallets,,,
,,,,Divaa,,,,,,Paper bags,,,
,,,,Edison,,,,,,Parcel,,,
,,,,Edony,,,,,,Plastic film bag,,,
,,,,Electra,,,,,,Poly bag,,,
,,,,Elfe,,,,,,Polyweave plastic bag,,,
,,,,Elgar,,,,,,Pot,,,
,,,,Endeavour,,,,,,Pouch,,,
,,,,Eos,,,,,,Punnet,,,
,,,,Estima,,,,,,Sack,,,
,,,,Eurostar,,,,,,Tank - cylindrical,,,
,,,,Focus,,,,,,Tank - rectangular,,,
,,,,Fontane,,,,,,Textile bag,,,
,,,,Gemson,,,,,,Tin,,,
,,,,Georgina,,,,,,Tote,,,
,,,,Glorietta,,,,,,Tray,,,
,,,,Gwenne,,,,,,Tub,,,
,,,,Heraclea,,,,,,Tube,,,
,,,,Hermes,,,,,,Vacuum packed,,,
,,,,Infinity,,,,,,Vial,,,
,,,,Innovator,,,,,,Wooden crate,,,
,,,,Isabelia,,,,,,Wooden pallet,,,
,,,,Ivory Russet,,,,,,,,,
,,,,Jazzy,,,,,,,,,
,,,,Jelly,,,,,,,,,
,,,,Juliette,,,,,,,,,
,,,,King Edward,,,,,,,,,
,,,,King Russet,,,,,,,,,
,,,,Kingsman,,,,,,,,,
,,,,Kresnik,,,,,,,,,
,,,,KWS 07-1402,,,,,,,,,
,,,,La Vie,,,,,,,,,
,,,,Lady Alicia,,,,,,,,,
,,,,Lady Anna,,,,,,,,,
,,,,Lady Christl,,,,,,,,,
,,,,Lady Claire,,,,,,,,,
,,,,Lady Jo,,,,,,,,,
,,,,Lady Rosetta,,,,,,,,,
,,,,Lady Terra ,,,,,,,,,
,,,,Lanorma,,,,,,,,,
,,,,Laperla,,,,,,,,,
,,,,Laura,,,,,,,,,
,,,,Leonata,,,,,,,,,
,,,,Leontine,,,,,,,,,
,,,,Lucera,,,,,,,,,
,,,,Lugano,,,,,,,,,
,,,,Madrid,,,,,,,,,
,,,,Manhattan,,,,,,,,,
,,,,Manitou,,,,,,,,,
,,,,Marabel,,,,,,,,,
,,,,Marfona,,,,,,,,,
,,,,Mariola,,,,,,,,,
,,,,Maris Bard,,,,,,,,,
,,,,Maris Peer,,,,,,,,,
,,,,Maris Piper,,,,,,,,,
,,,,Markies,,,,,,,,,
,,,,Melody,,,,,,,,,
,,,,Michelle,,,,,,,,,
,,,,Miranda,,,,,,,,,
,,,,Monte Carlo,,,,,,,,,
,,,,Morene,,,,,,,,,
,,,,Mozart,,,,,,,,,
,,,,Nectar,,,,,,,,,
,,,,Olympus,,,,,,,,,
,,,,Opal,,,,,,,,,
,,,,Orchestra,,,,,,,,,
,,,,Orla,,,,,,,,,
,,,,Panther,,,,,,,,,
,,,,Paris,,,,,,,,,
,,,,Pentland Dell,,,,,,,,,
,,,,Perdiz,,,,,,,,,
,,,,Performer,,,,,,,,,
,,,,Picasso,,,,,,,,,
,,,,Piccolo Star,,,,,,,,,
,,,,Pirol,,,,,,,,,
